CreateDate,Tweet,User
Fri Mar 23 22:16:46 +0000 2018,@realkarlbeattie Loving it so far https://t.co/mlGNsK6eeS,HelsMyatt
Fri Mar 23 20:04:02 +0000 2018,@McleishLee Cheers ? https://t.co/0AiRiZUOoG,HelsMyatt
Fri Mar 23 19:37:38 +0000 2018,@McleishLee You most certainly deserve more than one Gin after that run Lee....Get pouring https://t.co/j0F2ajfZ4g,HelsMyatt
Fri Mar 23 19:09:20 +0000 2018,@McleishLee Wow that’s fantastic running Lee well done ?,HelsMyatt
Fri Mar 23 18:50:47 +0000 2018,@cathcyrliog @AngieSouth Me too Catherine ??,HelsMyatt
Fri Mar 23 18:50:12 +0000 2018,"@LoriMills4 They are Lori, love em to bits ?",HelsMyatt
Fri Mar 23 18:45:54 +0000 2018,Here’s our two babies ???? #NationalPuppyDay https://t.co/UF3UoBZ8n0,HelsMyatt
Fri Mar 23 18:37:32 +0000 2018,@karenvernon8 I chose the Gin too Karen! Cheers ?,HelsMyatt
Fri Mar 23 17:33:31 +0000 2018,"It’s Friday night, the only decision to be made is #wine or gin ?? #FridayFeelings",HelsMyatt
Fri Mar 23 14:55:10 +0000 2018,@Hayleyjpearson Hope you managed to escape ? https://t.co/Av4cS2HAFq,HelsMyatt
Fri Mar 23 14:29:42 +0000 2018,@yokoono @johnlennon @MuseumLiverpool Would love to go to this ?,HelsMyatt
Fri Mar 23 14:19:42 +0000 2018,@RealAndrewMeyer Looks like a beautiful Trail. Great Miles,HelsMyatt
Fri Mar 23 14:15:59 +0000 2018,@CodySimpson @Spotify ? https://t.co/QGnobaTw78,HelsMyatt
Fri Mar 23 13:35:57 +0000 2018,Spent far to much time watching #YouTube videos today #fridayathome,HelsMyatt
Fri Mar 23 13:21:22 +0000 2018,@McleishLee ? looks yummy!,HelsMyatt
Fri Mar 23 13:20:21 +0000 2018,@cathcyrliog @AngieSouth @BrainTumourOrg @RhianCWilliams I like your thinking Catherine ? tuck in ! Have a fab run on Sunday,HelsMyatt
Fri Mar 23 13:19:08 +0000 2018,@MelissaKahn7 It looks fab !,HelsMyatt
Fri Mar 23 13:17:10 +0000 2018,@carolinesandall This one is the same ? https://t.co/Vllgl7Rol9,HelsMyatt
Fri Mar 23 11:02:34 +0000 2018,@carolinesandall He looks so cuddly ?,HelsMyatt
Fri Mar 23 11:01:58 +0000 2018,@RunKat821 Thanks K. You too ?,HelsMyatt
Fri Mar 23 10:04:33 +0000 2018,@xinaevans Have a great Friday! ?,HelsMyatt
Fri Mar 23 10:03:47 +0000 2018,@Lifeguard50 I am sure you will do ?,HelsMyatt
Fri Mar 23 10:03:13 +0000 2018,@carolinesandall Awwwwww ???,HelsMyatt
Fri Mar 23 09:34:05 +0000 2018,@Lifeguard50 Well done Caroline ?,HelsMyatt
Fri Mar 23 09:15:28 +0000 2018,@cakevscales  https://t.co/qqpeHPLu0G,HelsMyatt
Fri Mar 23 09:13:53 +0000 2018,@melhuish_amanda I’ve gone right off running lately ?,HelsMyatt
Thu Mar 22 17:05:34 +0000 2018,@AVTurnerAuthor  https://t.co/9PK5VSwymE,HelsMyatt
Thu Mar 22 09:07:49 +0000 2018,First outdoor #run in a while &amp; spent it dodging #potholes ?? #Thursdaymorning https://t.co/85ROYtgdMG,HelsMyatt
Wed Mar 21 14:24:07 +0000 2018,@cakevscales Lol.. I do actually wake in the night sometimes wanting chocolate ?,HelsMyatt
Wed Mar 21 09:36:05 +0000 2018,@intrinsicinspo1 I think you could be right ? https://t.co/Khk7YPvqRm,HelsMyatt
Tue Mar 20 21:10:16 +0000 2018,@cathcyrliog No not just you Catherine. It’s not helping when everything on tv is showing food ??,HelsMyatt
Tue Mar 20 20:23:59 +0000 2018,@cakevscales It’s just so annoying isn’t it ?. The only option is to just go to sleep &amp; hope I wake up thinner in the morning ?,HelsMyatt
Tue Mar 20 20:14:52 +0000 2018,It’s always the same.. I eat well all day &amp; then by 8pm I fail!!!! ?? #dietfail https://t.co/ZSzEdJLH4R,HelsMyatt
Tue Mar 20 17:02:12 +0000 2018,@KineticRev Thank you,HelsMyatt
Tue Mar 20 14:16:26 +0000 2018,@MelindaHoward4 Really enjoyed it today Melinda ?. Hope you’re having a good Tuesday ?,HelsMyatt
Tue Mar 20 13:38:54 +0000 2018,@carolinesandall Looks perfect ! Enjoy ?,HelsMyatt
Tue Mar 20 13:37:46 +0000 2018,Great #session at the #gym today. #Circuits class was fun! #fitnessgains,HelsMyatt
Tue Mar 20 12:11:48 +0000 2018,"Check out my run on Strava.
https://t.co/qYIF9q97Ku",HelsMyatt
Sun Mar 18 14:30:36 +0000 2018,"@jamielawrence75 He loves the snow ?? where as I on the other hand, am praying for some nice weather ?",HelsMyatt
Sun Mar 18 12:49:54 +0000 2018,@RunKat821 Have a great race Kat ??,HelsMyatt
Sun Mar 18 12:49:12 +0000 2018,@carolinesandall A great comeback ? enjoy your guiness &amp; bath well deserved,HelsMyatt
Sun Mar 18 09:53:26 +0000 2018,Another #snowday ?????? https://t.co/XpdYztD1an,HelsMyatt
Sun Mar 18 09:52:04 +0000 2018,"@carolinesandall Well done ?? just seen your strava, brilliant time ?",HelsMyatt
Sun Mar 18 08:07:37 +0000 2018,@carolinesandall Have a great run Caroline ?,HelsMyatt
Sun Mar 18 08:06:03 +0000 2018,"RT @TomHall: Watch a Bubble Freeze 

?

#FridayFeeling #Tech #FlashbackFriday #Weather #Snowday

https://t.co/C7ELv5CVPl",HelsMyatt
Sat Mar 17 12:08:19 +0000 2018,@karenvernon8 Very well thanks Karen! Take care ?,HelsMyatt
Sat Mar 17 08:18:52 +0000 2018,RT @Womensrunninguk: Enjoy your weekend runs everyone! https://t.co/e8dC65x7Qj,HelsMyatt
Fri Mar 16 22:03:43 +0000 2018,@RunKat821 It was lovely K! Have a great weekend ?,HelsMyatt
Fri Mar 16 22:02:47 +0000 2018,@helz1980 Awwwww hope they manage to keep warm,HelsMyatt
